file:///D:/documents/Programming/maui/maui-gui/videos/velocityType1.AVI,frame number,time(seconds),xLocation,peak positive(pixels),mean positive(pixels),mean negative(pixels),peak negative(pixels),peak all(pixels), mean all(pixels),peak positive(cm/s),mean positive(cm/s),mean negative(cm/s),peak negative(cm/s),peak all(cm/s),mean all(cm/s)
,63,1.77143,220,66,40,0,0,66,40,35.1064,21.2766,0,0,35.1064,21.2766
,63,1.77143,221,79,49,0,0,79,49,42.0213,26.0638,0,0,42.0213,26.0638
,63,1.77143,222,91,60,0,0,91,60,48.4043,31.9149,0,0,48.4043,31.9149
,63,1.77143,223,92,63,0,0,92,63,48.9362,33.5106,0,0,48.9362,33.5106
,64,1.8,224,92,62,0,0,92,62,48.9362,32.9787,0,0,48.9362,32.9787
,64,1.8,224.667,94,58,0,0,94,58,50,30.8511,0,0,50,30.8511
,64,1.8,225.333,94,58,0,0,94,58,50,30.8511,0,0,50,30.8511
,64,1.8,226,90,55,0,0,90,55,47.8723,29.2553,0,0,47.8723,29.2553
,65,1.82857,227,88,46,0,0,88,46,46.8085,24.4681,0,0,46.8085,24.4681
,65,1.82857,228,75,40,0,0,75,40,39.8936,21.2766,0,0,39.8936,21.2766
,65,1.82857,229,71,35,0,0,71,35,37.766,18.617,0,0,37.766,18.617
,65,1.82857,230,63,32,0,0,63,32,33.5106,17.0213,0,0,33.5106,17.0213
,66,1.85714,231,62,29,0,0,62,29,32.9787,15.4255,0,0,32.9787,15.4255
,66,1.85714,231.667,60,25,0,0,60,25,31.9149,13.2979,0,0,31.9149,13.2979
,66,1.85714,232.333,60,25,0,0,60,25,31.9149,13.2979,0,0,31.9149,13.2979
,66,1.85714,233,53,24,0,0,53,24,28.1915,12.766,0,0,28.1915,12.766
,67,1.88571,234,52,27,0,0,52,27,27.6596,14.3617,0,0,27.6596,14.3617
,67,1.88571,235,54,28,0,0,54,28,28.7234,14.8936,0,0,28.7234,14.8936
,67,1.88571,236,53,31,0,0,53,31,28.1915,16.4894,0,0,28.1915,16.4894
,67,1.88571,237,51,31,0,0,51,31,27.1277,16.4894,0,0,27.1277,16.4894
,68,1.91429,238,51,29,0,0,51,29,27.1277,15.4255,0,0,27.1277,15.4255
,68,1.91429,239,50,28,0,0,50,28,26.5957,14.8936,0,0,26.5957,14.8936
,68,1.91429,240,55,30,0,0,55,30,29.2553,15.9574,0,0,29.2553,15.9574
,68,1.91429,241,56,30,0,0,56,30,29.7872,15.9574,0,0,29.7872,15.9574
,69,1.94286,242,55,30,0,0,55,30,29.2553,15.9574,0,0,29.2553,15.9574
,69,1.94286,242.667,56,31,0,0,56,31,29.7872,16.4894,0,0,29.7872,16.4894
,69,1.94286,243.333,56,31,0,0,56,31,29.7872,16.4894,0,0,29.7872,16.4894
,69,1.94286,244,58,32,0,0,58,32,30.8511,17.0213,0,0,30.8511,17.0213
,70,1.97143,245,60,33,0,0,60,33,31.9149,17.5532,0,0,31.9149,17.5532
